Date,Workout,Exercise,WorkingWeight,Reps1,Reps2,Reps3,WU1,WR1,WU2,WR2,WU3,WR3,WU4,WR4,WU5,WR5,Notes
17/06/2025,A,Back Squat,20,5,5,5,,,,,,,,,,,
17/06/2025,A,Bench Press,20,5,5,5,,,,,,,,,,,
17/06/2025,A,Bent Over Row,30,5,5,5,,,,,,,,,,,
19/06/2025,B,Back Squat,30,5,5,5,20,5,25,5,,,,,,,
19/06/2025,B,Military Press,20,5,5,5,,,,,,,,,,,
19/06/2025,B,Deadlift,40,5,,,,,,,,,,,,,
19/06/2025,B,Weighted Chin Up,0,5,5,5,,,,,,,,,,,
21/06/2025,A,Back Squat,40,5,5,5,20,5,30,3,,,,,,,
21/06/2025,A,Bench Press,30,5,5,5,20,5,,,,,,,,,
21/06/2025,A,Bent Over Row,40,5,5,5,30,5,,,,,,,,,
24/06/2025,B,Back Squat,42.5,5,5,5,20,5,20,5,30,3,,,,,
24/06/2025,B,Military Press,25,5,5,5,,,,,,,,,,,
24/06/2025,B,Deadlift,60,5,,,40,5,50,5,,,,,,,
24/06/2025,B,Weighted Chin Up,0,5,5,5,,,,,,,,,,,
25/06/2025,A,Back Squat,45,5,5,5,20,5,20,5,30,3,,,,,
25/06/2025,A,Bench Press,40,5,5,5,20,5,20,5,30,3,,,,,
25/06/2025,A,Bent Over Row,50,5,5,5,30,5,40,5,,,,,,,
27/06/2025,B,Back Squat,47.5,5,5,5,20,5,20,5,35,3,,,,,
27/06/2025,B,Military Press,30,5,5,5,20,5,20,5,,,,,,,
27/06/2025,B,Deadlift,80,5,,,40,5,60,5,,,,,,,
27/06/2025,B,Weighted Chin Up,0,5,5,5,,,,,,,,,,,
30/06/2025,A,Back Squat,50,5,5,5,20,5,20,5,30,5,,,,,
30/06/2025,A,Bench Press,42.5,5,5,5,20,5,20,5,30,5,,,,,
30/06/2025,A,Deadlift,85,5,,,40,5,60,5,,,,,,,
03/07/2025,B,Back Squat,52.5,5,5,5,20,5,20,5,35,3,,,,,
03/07/2025,B,Military Press,32.5,5,5,5,20,5,20,5,,,,,,,
03/07/2025,B,Deadlift,90,5,,,40,5,60,5,,,,,,,
06/07/2025,A,Back Squat,55,5,5,5,20,5,20,5,40,5,,,,,
06/07/2025,A,Bench Press,45,5,5,5,20,5,20,5,30,5,,,,,
06/07/2025,A,Deadlift,95,5,,,50,5,70,5,,,,,,,
